Funding_Programme,County,Project_Name,Units,Approved_Housing_Body,Capital_Appraisal_Q,Capital_Appraisal_Year,Pre_Planning_Q,Pre_Planning_Year,Pre_Tender_Design_Q,Pre_Tender_Design_Year,Approval_Q,Approval_Year,On_Site_Q,On_Site_Year,Completed_Q,Completed_Year
Calf Turnkey,Laois,"Holdbrook, Portlaoise, Co. Laois (Phase 2)",10,Cluid Housing,,0,,0,,0,,0,Q3,2018,,0
Calf Construction,Laois,"Kirwan Park, Mountmellick, Co Laois  (Phase 1)",2,Cluid Housing,,0,,0,,0,,0,,0,Q2,2018
Calf Turnkey,Laois,"Knockmay Mews, Old Knockmay Road, Portlaoise, Co. Laois (Phase 1)",3,Túath Housing Association Ltd,,0,,0,,0,,0,Q4,2019,,0
Calf Turnkey,Laois,"Main Street, Stradbally, Co. Laois (Phase 1)",16,North And East Housing Association Ltd,,0,,0,,0,,0,Q1,2019,,0
Calf Construction,Laois,"POST TENDER - Cluinin  Mountrath, Co. Laois (Phase 1)",11,Oaklee Housing,,0,,0,,0,,0,,0,Q1,2018
Calf Turnkey,Laois,"South Dublin Road, Kilminchy, Portlaoise, Co. Laois (Phase 1)",13,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,Q1,2020,,0
Calf Turnkey,Laois,"South Dublin Road, Kilminchy, Portlaoise, Co. Laois (Phase 2)",14,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,Q1,2020,,0
Calf Turnkey,Laois,"South Dublin Road, Kilminchy, Portlaoise, Co. Laois (Phase 3)*",9,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,Q1,2020,,0
Calf Turnkey,Laois,"The Glen, Kilnacourt, Portarlington, Co. Laois (Phase 1)",18,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,,0,Q2,2020
Calf Turnkey,Laois,"Wilton Lawns, Portarlington, Co. Laois (Phase 1)",2,Respond,,0,,0,,0,Q4,2019,,0,,0
Ship Construction Turnkey,Leitrim,Roosky,7,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Leitrim,Drumshanbo,9,N/A,,0,,0,,0,,0,,0,Q3,2019
Ship Construction Turnkey,Leitrim,"Church Lane, Ballinamore",9,N/A,,0,,0,,0,Q4,2019,,0,,0
Ship Construction Turnkey,Leitrim,"Druminshingore, Newtowngore",2,N/A,,0,,0,,0,Q2,2020,,0,,0
Ship Construction Turnkey,Leitrim,"Carraig Breac, Drumshanbo",5,N/A,,0,,0,,0,Q2,2020,,0,,0
Ship Construction Turnkey,Leitrim,"Oakgrove, Kinlough",5,N/A,,0,,0,,0,Q2,2020,,0,,0
Ship Construction Turnkey,Leitrim,"Ard na Drise, Mohill",3,N/A,,0,,0,,0,Q2,2020,,0,,0
Ship Construction,Laois,"Shannon Street, Mountrath",6,N/A,,0,,0,,0,,0,Q1,2020,,0
Ship Construction,Laois,"Conniberry Way, Old Knockmay Road, Portlaoise",33,N/A,,0,,0,,0,,0,,0,Q2,2018
Ship Construction,Laois,"Harbour Court, Mountmellick",6,N/A,,0,,0,,0,,0,Q1,2020,,0
Ship Construction,Laois,"Mooreville, Rathdowney",7,N/A,,0,Q2,2020,,0,,0,,0,,0
Ship Construction,Laois,"Sean Doire, Cork Road, Durrow",22,N/A,,0,,0,Q1,2020,,0,,0,,0
Cas Construction,Leitrim,Ballinamore,2,Society of Saint Vincent de Paul,,0,,0,,0,,0,,0,Q4,2017
Calf Turnkey,Leitrim,"Cnoc an Luir, Drumshanbo, Co. Leitrim (Phase 1)",10,Túath Housing Association Ltd,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Limerick,"Woodlawn Park, Ballysimon Road, Limerick",9,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Limerick,"Woodlawn Park (Phase 2), Ballysimon Road, ",1,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Limerick,"Carraig Desmond, Newcastle West",8,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Limerick,Knocklong,2,N/A,,0,,0,,0,,0,Q1,2020,,0
Ship Construction Turnkey,Limerick,Carraig Desmond,2,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Limerick,"Redgate Close, Old Cratloe Road, Limerick City",14,N/A,,0,,0,,0,,0,Q1,2020,,0
Ship Construction Turnkey,Limerick,"The Orchard, Main Street, Pallaskenry",16,N/A,,0,,0,,0,,0,Q1,2020,,0
Ship Construction Turnkey,Limerick,"Castlebrook Manor, Walkers Road, Castletroy",4,N/A,,0,,0,,0,Q2,2020,,0,,0
Ship Construction Rapid,Limerick,"Faha View, Patrickswell",16,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Rapid,Limerick,"Old Christians Site, Rathbane",43,N/A,,0,,0,,0,,0,Q2,2020,,0
Ship Construction Rapid,Limerick,"Barnakyle, Patrickswell (Site 2)",24,N/A,,0,,0,Q3,2018,,0,,0,,0
Ship Construction,Laois,"St Kieran's Park, Errill",14,N/A,,0,Q4,2019,,0,,0,,0,,0
Ship Construction,Laois,"Clonrooske, Knockmay",11,N/A,,0,Q2,2020,,0,,0,,0,,0
Ship Construction,Laois,"Carraig Glas, Stradbally",26,N/A,Q3,2019,,0,,0,,0,,0,,0
Ship Construction,Laois,"Stradbally Road, Portlaoise",50,N/A,Q2,2020,,0,,0,,0,,0,,0
Ship Construction,Laois,Iona,9,N/A,,0,Q2,2020,,0,,0,,0,,0
Ship Construction,Leitrim,"Autumn View, Summerhill, Carrick on Shannon",27,N/A,,0,,0,,0,,0,Q4,2019,,0
Ship Construction,Leitrim,"Taobh Tire, Manorhamilton (Phase 2)",7,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction,Leitrim,"Taobh Tire, Manorhamilton (Phase 3)",5,N/A,Q4,2019,,0,,0,,0,,0,,0
Ship Construction,Leitrim,"Townparks, Carrick on Shannon",12,N/A,Q1,2020,,0,,0,,0,,0,,0
Ship Construction,Leitrim,"Lahard, Ballinamore",10,N/A,Q4,2019,,0,,0,,0,,0,,0
Ship Construction,Limerick,"Patrick�s Villas, Castleconnell",4,N/A,,0,,0,,0,,0,Q3,2019,,0
Ship Construction,Limerick,"Ballysimon, Greenhill Road ",14,N/A,,0,,0,,0,,0,Q1,2020,,0
Ship Construction,Limerick,"Gough Place, Rosbrien Road, Limerick",17,N/A,,0,,0,,0,Q1,2020,,0,,0
Ship Construction,Limerick,"Burke Avenue, Limerick City",12,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction,Limerick,"Fannings Corner, Limerick City",3,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction,Limerick,"Wallers Well, Limerick City (Phase 2)",13,N/A,,0,,0,,0,,0,Q2,2019,,0
Ship Construction,Limerick,"Clonmacken, Limerick City",43,N/A,,0,,0,,0,,0,Q3,2019,,0
Ship Construction,Limerick,"Deerpark, Adare",30,N/A,Q2,2015,,0,,0,,0,,0,,0
Ship Construction,Limerick,"Glenview Drive, Hospital",20,N/A,,0,,0,,0,Q4,2019,,0,,0
Ship Construction,Limerick,"Clare Street, Limerick City",7,N/A,,0,Q3,2017,,0,,0,,0,,0
Ship Construction,Limerick,"Hasset Villas, Thomondgate",3,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction,Limerick,"Kilmurry Court, Garryowen",7,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction,Limerick,"Rathbane Road, Limerick City",2,N/A,,0,,0,,0,,0,,0,Q1,2019
Regeneration,Limerick,"Lord Edward Street, P2: Main Contract",79,N/A,,0,,0,,0,,0,,0,Q4,2017
Regeneration,Limerick,"Lord Edward Street, P2: Main Contract",2,N/A,,0,,0,,0,,0,,0,Q1,2017
Regeneration,Limerick,Sheep / Athlunkards Street,8,Túath Housing Association Ltd,,0,Q2,2014,,0,,0,,0,,0
Regeneration,Limerick,Churchfield,19,N/A,,0,,0,,0,,0,,0,Q1,2018
Regeneration,Limerick,Churchfield (Phase 2),38,Cluid Housing Association,,0,Q4,2014,,0,,0,,0,,0
Regeneration,Limerick,Cosgrave Park,9,N/A,,0,Q1,2015,,0,,0,,0,,0
Regeneration,Limerick,Orchard Site,26,Oaklee Housing Trust,,0,Q3,2017,,0,,0,,0,,0
Regeneration,Limerick,176 & 177 Cliona Park,2,N/A,,0,,0,,0,,0,,0,Q2,2016
Regeneration,Limerick,Cliona Park (Phase 2),10,N/A,,0,,0,,0,,0,,0,Q2,2017
Regeneration,Limerick,8-10 Gaol Lane,3,N/A,,0,,0,,0,,0,,0,Q4,2016
Regeneration,Limerick,1 3 Weston Gardens,3,N/A,,0,,0,,0,,0,,0,Q2,2016
Regeneration,Limerick,2016 Moyross Rebuild,6,N/A,,0,,0,,0,,0,,0,Q4,2016
Regeneration,Limerick,2016 Southhill Rebuild,8,N/A,,0,,0,,0,,0,,0,Q4,2016
Regeneration,Limerick,2016 St. Mary's Park Rebuild,9,N/A,,0,,0,,0,,0,,0,Q4,2016
Regeneration,Limerick,"BCW Vacant Refurbs, Lot 1 & 2**",14,N/A,,0,,0,,0,,0,,0,Q4,2016
Regeneration,Limerick,St. Mary's Park Infills,15,N/A,,0,,0,,0,,0,,0,Q4,2018
Regeneration,Limerick,Cliona Park (Phase 3),18,Túath Housing Association Ltd,,0,Q3,2016,,0,,0,,0,,0
Regeneration,Limerick,45A-46A Cliona Park,2,N/A,,0,,0,,0,,0,Q2,2020,,0
Regeneration,Limerick,Dalgaish Park,27,N/A,,0,Q3,2019,,0,,0,,0,,0
Regeneration,Limerick,2017 St Mary's Park Rebuild,1,N/A,,0,,0,,0,,0,,0,Q4,2017
Regeneration,Limerick,2017 Ballinacurra Weston Rebuild,1,N/A,,0,,0,,0,,0,,0,Q4,2017
Regeneration,Limerick,2017 Southill Rebuilds,13,N/A,,0,,0,,0,,0,,0,Q4,2017
Regeneration,Limerick,2017 Moyross Rebuild,1,N/A,,0,,0,,0,,0,,0,Q4,2017
Regeneration,Limerick,Churchfield (Phase 1.1),23,N/A,,0,,0,,0,,0,,0,Q2,2018
Regeneration,Limerick,St. Mary's Park Infills (Phase 2),4,N/A,,0,,0,,0,,0,,0,Q1,2019
Regeneration,Limerick,Infill developments at Carew Park and Moyross,38,Peter McVerry Trust Ltd,,0,,0,,0,Q1,2020,,0,,0
Regeneration,Limerick,"2019 Rebuilds (Southill, Moyross, St Mary's Park and Ballinacurra Weston)",8,N/A,,0,,0,,0,,0,,0,Q4,2019
Cas Construction Turnkey,Limerick,"Carebright Community, Ardykeohane, Bruff",6,Carebright Ltd,,0,,0,,0,,0,,0,Q1,2019
Cas Construction Turnkey,Limerick,"Barrack Mews, Brennan's Row, Cathedral Place",2,Arlington Novas Ireland Ltd,,0,,0,,0,,0,,0,Q4,2019
Cas Construction Turnkey,Limerick,"Barrack Mews, Brennan's Row, Cathedral place",3,Arlington Novas Ireland Ltd,,0,,0,,0,,0,,0,Q1,2020
Cas Construction Turnkey,Limerick,"Barrack Mews, Brennan's Row, Cathedral place",1,Arlington Novas Ireland Ltd,,0,,0,,0,,0,,0,Q2,2020
Cas Construction,Limerick,"Towerfield Crescent, Croom",16,Croom Voluntary Housing Association Ltd,,0,Q2,2019,,0,,0,,0,,0
Cas Construction,Limerick,Cappamore,10,Cappamore Housing Association Ltd,,0,Q1,2019,,0,,0,,0,,0
Cas Construction,Limerick,"Speakers Corner, Limerick City",4,Simon Community: Midwest Simon,,0,,0,,0,,0,,0,Q3,2018
Cas Construction,Limerick,"Cuan Mhuire, Bruree",6,Cuan Mhuire Teoranta,,0,,0,,0,,0,,0,Q3,2018
Cas Construction,Limerick,"Mirth, Thomondgate",18,Associated Charities Trust Ltd,Q3,2017,,0,,0,,0,,0,,0
Cas Construction,Limerick,"Cois na Feile, Abbeyfeale ",12,Cluid Housing Association,,0,,0,,0,,0,,0,Q4,2016
Cas Construction,Limerick,2/3 Mallow Street,12,Peter McVerry Trust Ltd,Q1,2018,,0,,0,,0,,0,,0
Cas Construction,Limerick,"St. Pauls Convent, Kilfinane",9,Sophia Housing Association Ltd,Q4,2018,,0,,0,,0,,0,,0
Cas Construction,Limerick,"McGarry House, 7 Alphonsus Street",8,Arlington Novas Ireland Ltd,Q3,2019,,0,,0,,0,,0,,0
Cas Construction,Limerick,"47 & 48 Main Street, Croom, Limerick",4,Croom Voluntary Housing Association Ltd,Q3,2019,,0,,0,,0,,0,,0
Cas Construction,Limerick,58 Henry Street,5,Simon Community: Midwest Simon,,0,Q1,2020,,0,,0,,0,,0
Calf Turnkey,Limerick,"Ballygrennan Close, Moyross, Limerick  (Phase 1)",2,Respond,,0,,0,,0,,0,,0,Q4,2018
Calf Turnkey,Limerick,"Ballygrennan Close, Moyross, Limerick  (Phase 2)",2,Respond,,0,,0,,0,,0,,0,Q4,2018
Calf Turnkey,Limerick,"Ballygrennan Close, Moyross, Limerick  (Phase 3)",2,Respond,,0,,0,,0,,0,,0,Q4,2018
Calf Turnkey,Limerick,"Baunacloka Heights, Mungret Gate, Mungret, Co. Limerick (Phase 1)",46,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,Q3,2018,,0
Calf Turnkey,Limerick,"Baunacloka Heights, Mungret Gate, Mungret, Co. Limerick (Phase 2)*",25,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,Q3,2018,,0
Calf Turnkey,Limerick,"Bloodmill Road, Singland, Limerick (Phase 1)*",25,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,Q2,2020,,0
Calf Turnkey,Limerick,"Bloodmill Road, Singland, Limerick (Phase 2)",27,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,Q2,2020,,0
Calf Turnkey,Limerick,"Bloodmill Road, Singland, Limerick (Phase 3)*",35,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,Q2,2020,,0
Calf Turnkey,Limerick,"Bloodmill Road, Singland, Limerick (Phase 4)*",33,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,Q2,2020,,0
Calf Turnkey,Limerick,"Bloodmill Road, Singland, Limerick (Phase 5)",14,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,Q2,2020,,0
Calf Turnkey,Limerick,"Clonmacken, Condell Road, Limerick (Phase 1)*",24,Co - Operative Housing Ireland Society Limited,,0,,0,,0,Q3,2020,,0,,0
Calf Turnkey,Limerick,"Clonmacken, Condell Road, Limerick (Phase 2)*",23,Co - Operative Housing Ireland Society Limited,,0,,0,,0,Q3,2020,,0,,0
Calf Turnkey,Limerick,"Clonmacken, Condell Road, Limerick (Phase 3)*",21,Co - Operative Housing Ireland Society Limited,,0,,0,,0,Q3,2020,,0,,0
Calf Turnkey,Limerick,"Clonmacken, Condell Road, Limerick (Phase 4)*",20,Co - Operative Housing Ireland Society Limited,,0,,0,,0,Q3,2020,,0,,0
Calf Turnkey,Limerick,"Clonmacken, Condell Road, Limerick (Phase 5)*",22,Co - Operative Housing Ireland Society Limited,,0,,0,,0,Q3,2020,,0,,0
Calf Turnkey,Limerick,"Cluain Ard, Fedamore, Co Limerick  (Phase 1)",2,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,,0,Q1,2018
Calf Turnkey,Limerick,"Cluain Ard, Fedamore, Co Limerick  (Phase 2)",2,Co - Operative Housing Ireland Society Limited,,0,,0,,0,,0,,0,Q3,2018
Calf Turnkey,Limerick,"Drominbeg, Rhebogue, Limerick (Phase 1)",10,Co - Operative Housing Ireland Society Limited,,0,,0,,0,Q1,2020,,0,,0
Calf Turnkey,Limerick,"Drominbeg, Rhebogue, Limerick (Phase 2)",10,Co - Operative Housing Ireland Society Limited,,0,,0,,0,Q1,2020,,0,,0
Calf Turnkey,Limerick,"Glendale Lawn, Bloodmill Road, Limerick (Phase 1)",4,Cluid Housing,,0,,0,,0,Q2,2020,,0,,0
Calf Construction,Limerick,"Hyde Road, Limerick City (Phase 1)",20,Cluid Housing,,0,,0,,0,,0,,0,Q1,2018
Calf Turnkey,Limerick,"Revised - Ard Aulin, Mungret, Co Limerick (Phase 1)",7,Cluid Housing,,0,,0,,0,,0,,0,Q2,2017
Calf Turnkey,Limerick,"Woodfield Manor, Cloonyscrehane, Newcastle West (Phase 1)*",19,Cluid Housing,,0,,0,,0,Q2,2020,,0,,0
Calf Turnkey,Limerick,"Woodfield Manor, Cloonyscrehane, Newcastle West (Phase 2)",11,Cluid Housing,,0,,0,,0,Q2,2020,,0,,0
Ship Construction Turnkey,Longford,"Mill Race Park, Drumlish",14,N/A,,0,,0,,0,,0,,0,Q4,2017
Ship Construction Turnkey,Longford,"Knock, Lanesborough",4,N/A,,0,,0,,0,,0,,0,Q3,2018
Ship Construction Turnkey,Longford,"Mill Race Park, Drumlish (Phase 2)",2,N/A,,0,,0,,0,,0,,0,Q1,2018
Ship Construction Turnkey,Longford,Ballinamuck,7,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction Turnkey,Longford,Ballinamuck (Phase 2),4,N/A,,0,,0,,0,,0,,0,Q3,2019
Ship Construction Turnkey,Longford,Ballinamuck (Phase 3),6,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Longford,"Rock View, Cloondara",5,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction Turnkey,Longford,"Greville Court, Granard",14,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Longford,"Knock, Lanesborough (Phase 2)",29,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction Turnkey,Longford,"Mill Race Park, Drumlish",2,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Longford,"Carragh, Granard",4,N/A,,0,,0,,0,,0,,0,Q3,2019
Ship Construction Turnkey,Longford,"Church Street, Edgeworthstown",5,N/A,,0,,0,,0,,0,Q1,2019,,0
Ship Construction Turnkey,Longford,"Smithfield, Legan",18,N/A,,0,,0,,0,,0,Q1,2020,,0
Ship Construction Turnkey,Longford,"Mill Race Park, Drumlish",4,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Longford,"Mill Race Park, Drumlish",4,N/A,,0,,0,,0,,0,,0,Q2,2019
Ship Construction Turnkey,Longford,"Carragh, Granard (Phase 4)",6,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Longford,"Carragh, Granard (Phase 2)",4,N/A,,0,,0,,0,,0,,0,Q2,2019
Ship Construction Turnkey,Longford,"Mill Race Park, Drumlish (Phase 3)",4,N/A,,0,,0,,0,,0,,0,Q3,2019
Ship Construction Turnkey,Longford," Abhainn Glas, Edgeworthstown",4,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Longford,"Caislean Breac, Newtownforbes",2,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Longford,Farnagh Hill,4,N/A,,0,,0,,0,,0,,0,Q1,2020
Ship Construction Turnkey,Longford,"Carragh, Granard(Phase 3)",4,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Longford,"Mill Race Park, Drumlish",2,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Longford,"Farnagh Hill, Longford Town",8,N/A,,0,,0,,0,,0,Q4,2019,,0
Ship Construction Turnkey,Longford,"Carragh, Granard",7,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Longford,"Radharc Na Muileann, Knock, Lanesborough",2,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Longford,"Pearse Drive, Longford Town",1,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Longford,"Farnagh Hill, Longford Town",4,N/A,,0,,0,,0,,0,Q4,2019,,0
Ship Construction,Limerick,"Sycamore Avenue, Limerick City",5,N/A,,0,,0,,0,,0,,0,Q3,2019
Ship Construction,Limerick,"Lower Carey's Road, Limerick City",11,N/A,,0,,0,,0,,0,Q1,2020,,0
Ship Construction,Limerick,"Kileely Road, Moyross",5,N/A,,0,,0,,0,,0,Q2,2020,,0
Ship Construction,Limerick,"Clare Street, Limerick City",2,N/A,,0,,0,,0,,0,,0,Q4,2017
Ship Construction,Limerick,Knocklong,12,N/A,,0,Q4,2019,,0,,0,,0,,0
Ship Construction,Limerick,"Convent Street, King's Island",2,N/A,Q1,2018,,0,,0,,0,,0,,0
Ship Construction,Limerick,"Colbert Terrace, Abbeyfeale",3,N/A,,0,Q4,2018,,0,,0,,0,,0
Ship Construction,Limerick,"St. Michael's Court, Watergate Flats, ",9,N/A,Q1,2018,,0,,0,,0,,0,,0
Calf Turnkey,Longford,"Cartrun Breac, Lisbrack Rd, Longford (Phase 1)",7,Cluid Housing,,0,,0,,0,,0,,0,Q1,2017
Calf Construction,Longford,"Colmcille Terrace, Granard, Co. Longford. (Phase 1)",21,Túath Housing Association Ltd,,0,,0,,0,Q2,2018,,0,,0
Ship Construction Turnkey,Louth,"Brabazon Hall, Termonfeckin, Drogheda",5,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction Turnkey,Louth,"Castletown Road, Dundalk ",6,N/A,,0,,0,,0,Q4,2019,,0,,0
Ship Construction Turnkey,Louth,"�Gort Bui�, Ballymakenny Road, Drogheda - Phase 1",13,N/A,,0,,0,,0,,0,Q4,2019,,0
Ship Construction Turnkey,Louth,"Green Gates Manor, Haynestown, Dundalk, Co. Louth ",44,N/A,,0,,0,,0,,0,,0,Q2,2020
Ship Construction Turnkey,Louth,"Wadman Park, Haynestown, Dundalk, Co. Louth - Phase 1",16,N/A,,0,,0,,0,Q1,2020,,0,,0
Ship Construction Turnkey,Louth,"�Gort Bui�, Ballymakenny Road, Drogheda - Phase 2",9,N/A,,0,,0,,0,,0,Q4,2019,,0
Ship Construction Turnkey,Louth,"�Gort Bui�, Ballymakenny Road, Drogheda - Phase 3",10,N/A,,0,,0,,0,,0,Q4,2019,,0
Ship Construction Turnkey,Louth,"�Gort Bui�, Ballymakenny Road, Drogheda - Phase 4",9,N/A,,0,,0,,0,,0,Q4,2019,,0
Ship Construction Turnkey,Louth,"�Gort Bui�, Ballymakenny Road, Drogheda - Phase 5",8,N/A,,0,,0,,0,,0,Q4,2019,,0
Ship Construction Turnkey,Louth,"Wadman Park, Haynestown, Dundalk, Co. Louth - Phase 2",17,N/A,,0,,0,,0,Q1,2020,,0,,0
Ship Construction Turnkey,Louth,"5 Bridgegate Drive, Bridgegate, Ardee, Co. Louth",1,N/A,,0,,0,,0,Q2,2020,,0,,0
Ship Construction Turnkey,Louth,"Termon River, Termonfeckin, Co. Louth ",3,N/A,,0,,0,,0,,0,Q1,2018,,0
Ship Construction Turnkey,Louth,"Glyde View, Tallanstown",2,N/A,,0,,0,,0,Q2,2020,,0,,0
Ship Construction Turnkey,Louth,"Wadman Park, Haynestown, Dundalk, Co. Louth - Phase 3",29,N/A,,0,,0,,0,Q1,2020,,0,,0
Ship Construction,Limerick,"Ballygrennan Road, Limerick City",2,N/A,,0,,0,,0,,0,,0,Q4,2017
Ship Construction,Limerick,"Ballysimon, Greenhills Road",3,N/A,,0,,0,,0,,0,Q2,2020,,0
Ship Construction,Longford,"Rathcline Road, Lanesborough",4,N/A,,0,,0,,0,,0,,0,Q3,2019
Ship Construction,Longford,"Edgeworthstown Road, Ballymahon",4,N/A,,0,,0,,0,,0,,0,Q1,2018
Ship Construction,Longford,"Daroge, Ballymahon",1,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction,Longford,"'Rose Cottage', Ballinalee",6,N/A,,0,,0,,0,Q2,2020,,0,,0
Ship Construction,Longford,"St.Rita's, Park Road, Longford",14,N/A,,0,Q1,2020,,0,,0,,0,,0
Ship Construction,Longford,"Fairgreen View, Longford Town",1,N/A,,0,,0,,0,Q2,2020,,0,,0
Ship Construction,Longford,"Cranleymore, Abbeylara",3,N/A,,0,,0,Q1,2020,,0,,0,,0
Ship Construction,Longford,"Cloonahard, Edgeworthstown",1,N/A,,0,,0,,0,Q2,2020,,0,,0
Ship Construction,Louth,"55/57 Bothar Brugha, Drogheda",3,N/A,,0,,0,,0,,0,,0,Q4,2017
Ship Construction,Louth,CPO Bundle 2 - Phase 1,4,N/A,,0,,0,,0,,0,,0,Q1,2018
Ship Construction,Louth,CPO Bundle 1,7,N/A,,0,,0,,0,,0,,0,Q4,2016
Ship Construction,Louth,CPO Bundle 1 - Phase 2,5,N/A,,0,,0,,0,,0,,0,Q2,2017
Ship Construction,Louth,CPO Bundle 1 - Phase 3,3,N/A,,0,,0,,0,,0,,0,Q3,2017
Ship Construction,Louth,CPO Bundle 1 - Phase 4,7,N/A,,0,,0,,0,,0,,0,Q4,2017
Ship Construction,Louth,CPO Bundle 1 - Phase 5,1,N/A,,0,,0,,0,,0,,0,Q3,2018
Ship Construction,Louth,CPO Bundle 2 - Phase 2,1,N/A,,0,,0,,0,,0,,0,Q3,2018
Ship Construction,Louth,CPO Bundle 2 - Phase 6,2,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction,Louth,CPO Bundle 3,2,N/A,,0,,0,,0,,0,,0,Q2,2017
Ship Construction,Louth,CPO Bundle 3 - Phase 2,1,N/A,,0,,0,,0,,0,,0,Q3,2017
Ship Construction,Louth,CPO Bundle 3 - Phase 3,4,N/A,,0,,0,,0,,0,,0,Q4,2017
Ship Construction,Louth,CPO Bundle 3 - Phase 7,2,N/A,,0,,0,,0,,0,,0,Q1,2019
Ship Construction,Louth,CPO Bundle 4,1,N/A,,0,,0,,0,,0,,0,Q3,2018
Ship Construction,Louth,CPO Bundle 1 - Phase 6,1,N/A,,0,,0,,0,,0,,0,Q1,2020
Ship Construction,Louth,CPO Bundle 4 - Phase 3,5,N/A,,0,,0,,0,,0,,0,Q1,2019
Ship Construction,Louth,CPO Bundle 3 - Phase 4,1,N/A,,0,,0,,0,,0,,0,Q2,2018
Ship Construction,Louth,CPO Bundle 3 - Phase 5,4,N/A,,0,,0,,0,,0,,0,Q3,2018
Ship Construction,Louth,CPO Bundle 2 - Phase 3,1,N/A,,0,,0,,0,,0,,0,Q1,2019
Ship Construction,Louth,CPO Bundle 2 - Phase 4,1,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction,Louth,CPO Bundle 4 - Phase 2,4,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction,Louth,CPO Bundle 3 - Phase 6,5,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction,Louth,CPO Bundle 4 - Phase 4,1,N/A,,0,,0,,0,,0,,0,Q4,2018
Ship Construction,Louth,CPO Bundle 3 - Phase 8,2,N/A,,0,,0,,0,,0,,0,Q2,2019
Ship Construction,Louth,CPO Bundle 5 - Phase 2,2,N/A,,0,,0,,0,,0,,0,Q2,2019
Ship Construction,Louth,CPO Bundle 5 - Phase 1,1,N/A,,0,,0,,0,,0,,0,Q1,2019
Ship Construction,Louth,CPO Bundle 5 - Phase 4,3,N/A,,0,,0,,0,,0,,0,Q4,2019
Ship Construction,Louth,"Moneymore, Drogheda, Co. Louth",1,N/A,,0,,0,,0,,0,Q2,2020,,0
Ship Construction,Louth,"Rathmullen, Drogheda, Co. Louth",4,N/A,,0,,0,,0,,0,Q2,2020,,0
Ship Construction,Louth,"Infill Housing Construction, Gort Uaine, Clogherhead, Co. Louth",1,N/A,,0,,0,,0,Q3,2019,,0,,0
Ship Construction,Louth,"Infill Housing Construction, School Lane, Dunleer, Co. Louth",1,N/A,,0,,0,,0,Q3,2019,,0,,0
Ship Construction,Louth,"CPO Bundle 6 - 2 Willow Brook, Dromiskin",1,N/A,,0,,0,,0,Q4,2019,,0,,0
Ship Construction,Louth,CPO Bundle 2 - Phase 5,1,N/A,,0,,0,,0,,0,,0,Q3,2019
